Month,Site,Supplier,Units_Shipped,Units_Returned,Defects_Found,Inspection_Hours,Unit_Cost_USD,On_Time_Percent
2026-04,Austin,Bravo Plastics,1673,9,30,26.1,10.08,93.4
2026-04,Austin,Cardinal Metals,1647,5,8,14.6,14.66,89.4
2026-04,Berlin,Alpha Components,1513,1,11,38.1,12.2,96.3
2026-04,Berlin,Bravo Plastics,1295,8,15,18,9.89,94.6
2026-04,Berlin,Cardinal Metals,1509,1,11,33.4,13.79,97
2026-04,Osaka,Alpha Components,2163,4,10,17.5,12.3,94.8
2026-04,Osaka,Bravo Plastics,1991,15,24,16.4,9.94,92.5
2026-04,Osaka,Cardinal Metals,1871,1,15,41.2,13.8,100
2026-04,Monterrey,Alpha Components,1163,2,8,25.9,12.32,87.3
2026-04,Monterrey,Bravo Plastics,1283,14,22,17.4,9.94,91
2026-04,Monterrey,Cardinal Metals,1184,1,13,44.9,14.47,82.5
2026-05,Austin,Alpha Components,1746,2,11,27.9,12.26,95.4
2026-05,Austin,Bravo Plastics,1590,11,28,21.8,9.92,87.5
2026-05,Austin,Cardinal Metals,1691,1,13,41.2,13.89,92.8
2026-05,Berlin,Alpha Components,1542,2,9,22.8,12.85,92.3
2026-05,Berlin,Bravo Plastics,1314,5,25,29.6,9.98,92.6
2026-05,Berlin,Cardinal Metals,1517,4,8,21.1,13.98,92.2
2026-05,Osaka,Alpha Components,2066,1,12,31,12.68,95.5
2026-05,Osaka,Bravo Plastics,1940,10,22,17.9,9.59,99.7
2026-05,Osaka,Cardinal Metals,2047,5,12,19.9,14.15,96.1
2026-05,Monterrey,Alpha Components,1205,3,6,17.2,12.23,77.2
2026-05,Monterrey,Bravo Plastics,1123,2,21,31.1,10.17,82.2
2026-05,Monterrey,Cardinal Metals,1110,2,11,29.7,14.24,86
2026-06,Austin,Alpha Components,1722,3,9,19.9,12.84,86.5
2026-06,Austin,Bravo Plastics,1698,2,31,34.1,9.61,92.8
2026-06,Austin,Cardinal Metals,1755,1,15,45.8,14.43,87.8
2026-06,Berlin,Alpha Components,1354,1,8,28.4,12.77,91.8
2026-06,Berlin,Bravo Plastics,1573,2,29,33.9,10.01,95.3
2026-06,Berlin,Cardinal Metals,1350,3,8,19,13.75,93.6
2026-06,Osaka,Alpha Components,1831,1,11,33,12.23,96.2
2026-06,Osaka,Bravo Plastics,2014,3,38,43.6,9.93,94
2026-06,Osaka,Cardinal Metals,2098,3,16,27.6,14.32,100
2026-06,Monterrey,Alpha Components,1097,2,6,23.8,12.52,83.9
2026-06,Monterrey,Bravo Plastics,1149,2,25,36,10.15,83.3
2026-06,Monterrey,Cardinal Metals,1099,1,8,27.8,13.92,88
2026-07,Austin,Alpha Components,1591,1,13,40.8,12.85,96.5
2026-07,Austin,Bravo Plastics,1653,2,31,38.2,9.95,92
2026-07,Austin,Cardinal Metals,1877,1,15,32.7,14.16,94.3
2026-07,Berlin,Alpha Components,1385,0,10,41.4,12.63,95
2026-07,Berlin,Bravo Plastics,1372,2,32,40,9.82,93.3
2026-07,Berlin,Cardinal Metals,1568,2,12,30.5,14.33,95.6
2026-07,Osaka,Alpha Components,2050,4,9,20,12.68,94.6
2026-07,Osaka,Bravo Plastics,1912,3,36,43.7,9.98,94.6
2026-07,Osaka,Cardinal Metals,1879,1,16,33.5,13.83,94.6
2026-07,Monterrey,Alpha Components,1102,0,10,43.2,12.13,86.4
2026-07,Monterrey,Bravo Plastics,1279,2,32,36.9,9.69,93.7
2026-07,Monterrey,Cardinal Metals,1138,3,10,26.3,14.18,78.3
2026-08,Austin,Alpha Components,1864,4,12,22.8,12.39,95.3
2026-08,Austin,Bravo Plastics,1844,11,31,23.6,10.19,90.6
2026-08,Austin,Cardinal Metals,1729,1,13,31.2,14.22,88.8
2026-08,Berlin,Alpha Components,1382,0,8,36.3,12.23,93.4
2026-08,Berlin,Bravo Plastics,1512,2,28,37.8,10.06,91.8
2026-08,Berlin,Cardinal Metals,1525,2,14,29.9,14.17,95.9
2026-08,Osaka,Alpha Components,2070,1,14,42,12.48,93.9
2026-08,Osaka,Bravo Plastics,1996,14,29,18.9,10.17,97.9
2026-08,Osaka,Cardinal Metals,1967,1,16,34.8,14.52,98.2
2026-08,Monterrey,Alpha Components,1155,1,10,38.3,12.06,85
2026-08,Monterrey,Bravo Plastics,1096,3,29,43.5,10.02,86.3
2026-08,Monterrey,Cardinal Metals,1232,3,12,28.2,14.57,88.7
